"iMac8,1",MB398LL/A,9612,3.06 GHz Core 2 Duo (E8435),NVIDIA GeForce 8800 GS,2008,,,A1225,2211,,
"iMac9,1",MB418LL/A,9613,2.66 GHz Core 2 Duo (E8135),NVIDIA GeForce 9400M,2009,,,A1225,2267,,
"iMac9,1",MB419LL/A,9614,2.93 GHz Core 2 Duo (E8335),NVIDIA GeForce GT 120,2009,,,A1225,2267,,
"iMac9,1",MB420LL/A,9615,3.06 GHz Core 2 Duo (E8435),NVIDIA GeForce GT 130,2009,,,A1225,2267,,
"iMac9,1",MC015LL/B,9616,2.26 GHz Core 2 Duo (P7550),NVIDIA GeForce 9400M,2009,,,A1225,2316,,
"iMac10,1",MB950LL/A,9617,3.06 GHz Core 2 Duo (E7600),NVIDIA GeForce 9400M,2009,,,,2308,,
"iMac10,1",MB950LL/A BTO,9618,3.33 GHz Core 2 Duo (E8600),NVIDIA GeForce 9400M,2009,,,,2308,,
"iMac10,1",MB952LL/A,9619,3.06 GHz Core 2 Duo (E7600),ATI Radeon HD 4670,2009,,,,2309,,
"iMac10,1",MB952LL/A BTO,9620,3.33 GHz Core 2 Duo (E8600),ATI Radeon HD 4670,2009,,,,2309,,
"iMac11,1",MB953LL/A,9621,2.66 GHz Core i5 (I5-750),ATI Radeon HD 4850,2009,,,,2374,,
"iMac11,1",MC507LL/A,9622,2.8 GHz Core i7 (I7-860),ATI Radeon HD 4850,2009,,,,2374,,
"iMac11,2",MC508LL/A,9623,3.06 GHz Core i3 (I3-540),ATI Radeon HD 4670,2010,,,,2389,,
"iMac11,2",MC509LL/A,9624,3.2 GHz Core i3 (I3-550),ATI Radeon HD 5670,2010,,,,2389,,
"iMac11,2",MC509LL/A BTO,9625,3.6 GHz Core i5 (I5-680),ATI Radeon HD 5670,2010,,,,2389,,
"iMac11,3",MC510LL/A,9626,3.2 GHz Core i3 (I3-550),ATI Radeon HD 5670,2010,,,,2390,,
"iMac11,3",MC511LL/A,9627,2.8 GHz Core i5 (I5-760),ATI Radeon HD 5750,2010,,,,2390,,
"iMac11,3",MC511LL/A BTO,9628,3.6 GHz Core i5 (I5-680),ATI Radeon HD 5670,2010,,,,2390,,
"iMac11,3",MC784LL/A,9629,2.93 GHz Core i7 (I7-870),ATI Radeon HD 5750,2010,,,,2390,,
"iMac12,1",MC309LL/A,9630,2.5 GHz Core i5 (I5-2400S),AMD Radeon HD 6750M,2011,,,,2428,,
