"MacBookPro18,2",3.2 GHz Apple M1 Max 10-Core,Apple 32-Core,
"Mac14,2",3.49 GHz Apple M2 8-Core,Apple 8-Core,
"Mac14,2",3.49 GHz Apple M2 8-Core,Apple 10-Core,
"Mac14,6",3.68 GHz Apple M2 Max 12-Core,Apple 38-Core,
"Mac14,6",3.68 GHz Apple M2 Max 12-Core,Apple 30-Core,
"Mac14,9",3.49 GHz Apple M2 Pro 10-Core,Apple 16-Core,
"Mac14,10",3.49 GHz Apple M2 Pro 12-Core,Apple 19-Core,
"Mac14,9",3.49 GHz Apple M2 Pro 12-Core,Apple 19-Core,
"Mac14,3",3.49 GHz Apple M2 8-Core,Apple 10-Core,
"Mac14,5",3.68 GHz Apple M2 Max 12-Core,Apple 30-Core,
"Mac14,7",3.49 GHz Apple M2 8-Core,Apple 10-Core,
"Mac13,1",3.2 GHz Apple M1 Max 10-Core,Apple 24-Core,
"Mac15,9",4.0 GHz Apple M3 Max 16-Core,Apple 40-Core,
"Mac15,11",4.0 GHz Apple M3 Max 14-Core,Apple 30-Core,
"Mac15,10",4.0 GHz Apple M3 Max 14-Core,Apple 30-Core,
"Mac15,3",4.0 GHz Apple M3 8-Core,Apple 10-Core,
"Mac15,6",4.0 GHz Apple M3 Pro 11-Core,Apple 14-Core,
"Mac14,15",3.49 GHz Apple M2 8-Core,Apple 10-Core,
"Mac15,7",4.0 GHz Apple M3 Pro 12-Core,Apple 18-Core,
"Mac15,12",4.0 GHz Apple M3 8-Core,Apple 8-Core,
"Mac15,13",4.0 GHz Apple M3 8-Core,Apple 10-Core,
"iMac21,1",3.2 GHz Apple M1 8-Core,Apple 8-Core,
"Mac15,12",4.0 GHz Apple M3 8-Core,Apple 10-Core,
"Mac14,5",3.49 GHz Apple M2 Max 12-Core,Apple M2 Max 38-Core,
"Mac15,10",4.0 GHz Apple M3 Max 14-Core,Apple 30-Core,
"Mac15,6",4.0 GHz Apple M3 Pro 12-Core,Apple 18-Core,
"Mac16,8",4.5 GHz Apple M4 Pro 12-Core,Apple 16-Core,
"Mac15,8",4.05 GHz Apple M3 Max 16-Core,Apple M3 Max 40-Core,
"Mac16,1",4.4 GHz Apple M4 10-Core,Apple 10-Core,
"Mac16,7",4.4 GHz Apple M4 Pro 14-Core,Apple M4 Pro 20-Core,
"MacBookPro16,4",I9-9880H,Intel UHD Graphics 630+AMD Radeon Pro 5600M,
"Mac14,9",3.49 GHz Apple M2 Pro 10-Core,Apple 16-Core,
"Mac16,6",4.4 GHz Apple M4 Max 14-Core,Apple M4 Max 32-Core,
"Mac16,12",4.4 GHz Apple M4 10-Core,Apple M4 10-Core,
"Mac14,12",3.49 GHz Apple M2 Pro (10 Core),Apple M2 Pro (16 Core),
"Mac16,5",Apple M4 Max (14 Core),Apple M4 Max (32 Core),
"Mac16,5",Apple M4 Max (16 Core),Apple M4 Max (40 Core),
